0,51.8933	0,57.8652
0,51.9522	0,58.427
0,51.882	0,58.427
0,51.927	0,58.427
0,52.1096	0,58.427
0,51.8455	0,58.9888
0,51.9073	0,58.9888
0,51.882	0,58.9888
0,51.8034	0,58.9888
0,51.75	0,58.9888
0,51.5871	0,58.9888
0,51.882	0,58.9888
0,51.764	0,58.9888
0,51.7949	0,58.9888
0,51.8427	0,58.9888
0,51.9129	0,59.5506
0,51.8202	0,59.5506
0,51.8174	0,59.5506
0,51.882	0,60.6742
0,51.8961	0,60.6742
0,51.868	0,60.6742
0,51.6854	0,60.6742
0,51.8343	0,61.7978
0,51.7949	0,61.7978
0,51.9579	0,61.7978
0,51.9073	0,61.7978
0,51.9129	0,61.7978
0,51.9213	0,61.7978
0,51.9101	0,61.7978
0,51.8596	0,61.7978
0,51.7809	0,61.7978
0,51.9073	0,61.7978
0,51.9551	0,61.7978
0,51.8455	0,61.7978
0,51.9466	0,61.7978
0,51.8455	0,61.7978
0,52.0253	0,61.7978
0,52.0787	0,61.7978
0,52.059	0,61.7978
0,52.0871	0,61.7978
0,52.0112	0,61.7978
0,52	0,61.7978
0,51.8736	0,61.7978
0,52.0843	0,61.7978
0,52.0534	0,61.7978
0,51.9466	0,61.7978
0,51.868	0,61.7978
0,51.9298	0,61.7978
0,51.9607	0,61.7978
0,51.9129	0,61.7978
0,51.9663	0,61.7978
0,52.0449	0,61.7978
0,52.1152	0,61.7978
0,52.1124	0,61.7978
0,51.9888	0,61.7978
0,51.8652	0,61.7978
0,52.1433	0,61.7978
0,52.0253	0,61.7978
0,52.0056	0,61.7978
0,52.0534	0,61.7978
0,52.0421	0,61.7978
0,52.2612	0,61.7978
